Year,NATURE,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 3,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,52.12518
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,62.9163
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,71.24468
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,3.30235
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,21.5748
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,,Urban,Quintile 4,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.3682
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 4,Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,71.23605
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,76.16745
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Primary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,84.23463
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,42.98272
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,47.05991
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Lower secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,61.61984
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,35.77419
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,33.96898
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Urban,Quintile 5 (richest),Upper secondary education,Country Data,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,42.39067
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,16.20967
2001,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,15.3
2002,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,16.8
2003,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,18.7
2004,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,21.0
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,23.29575
2006,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,26.5
2007,C,"Ethiopia Population and Housing Census 2007. IPUMS-International, Central Statistical Agency.; Data extracted on 01 April 2022.",Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,25.37453
2008,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,32.6
2009,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,35.7
2010,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,38.7
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,40.77654
2012,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,44.3
2013,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,46.9
2014,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,49.4
2015,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,51.7
2016,C,Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,52.2516
2017,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,56.4
2018,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,58.6
2019,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,60.7
2020,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Primary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,62.9
2000,C,Ethiopia DHS 2000. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,5.15333
2001,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,8.1
2002,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,8.7
2003,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,9.3
2004,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,10.1
2005,C,Ethiopia DHS 2005. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,7.87459
2006,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,12.5
2007,C,"Ethiopia Population and Housing Census 2007. IPUMS-International, Central Statistical Agency.; Data extracted on 01 April 2022.",Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,8.50965
2008,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,15.5
2009,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,17.1
2010,E,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,18.7
2011,C,Ethiopia DHS 2011. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,Female,,,Lower secondary education,Estimated,Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,,,16.25557
