Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1998,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,133.65305
1999,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,72.85649
2000,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,67.41733
2001,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,70.242
2002,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,84.03574
2003,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,85.09196
2004,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,65.24038
2005,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,49.94443
2006,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,14.57108
2007,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,13.1397
2008,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,10.50851
2009,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,16.54603
2010,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,24.42937
2011,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,26.99319
2012,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,24.21392
2013,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,26.47007
2014,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,30.55355
2015,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,31.78029
2016,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,31.59332
2017,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,32.19526
2018,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,33.18835
2019,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,29.76692
2020,"World Bank, International Debt Statistics.",External debt stocks as a proportion of GNI (%) [17.13.1],Percent,"World Bank, International Debt Statistics.",,,28.36146
2017,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,8.67029
2018,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,8.59801
2019,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,7.9768
2020,"International Monetary Fund, Financial Soundness Indicators.",Bank capital to assets ratio (%) [17.13.1],Percent,"International Monetary Fund, Financial Soundness Indicators.",,,7.15637
1977,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.4311
1978,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.35019
1979,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.38947
1980,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.6119
1981,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.22639
1982,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.63706
1983,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.48518
1984,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.19917
1985,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.25519
1986,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.15026
1987,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.06798
1988,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.32434
1989,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.20408
1990,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,0.49108
1991,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.49931
1992,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.21187
1993,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.53744
1994,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.37948
1995,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.38074
1996,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.08793
1997,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.83181
1998,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.82049
1999,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.44502
2000,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.6005
2001,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.67748
2002,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.59777
2003,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.33257
2004,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.74277
2005,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.53122
2006,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.95885
2007,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.22985
2008,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.08431
2009,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.35199
2010,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.69324
2011,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.87144
2012,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.94022
2013,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.97097
2014,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.3003
2015,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.28153
2016,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.78101
2017,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.84485
2018,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.35374
2019,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.80528
2020,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.04858
1960,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.8637
1961,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.84101
1962,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.80438
1963,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.86871
1964,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.51635
1965,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.26084
1966,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.35568
1967,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.91794
1968,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.08863
1969,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.36682
1970,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.56666
1971,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.75091
1972,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.30753
1973,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.4006
1974,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.74098
1975,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,1.90618
1976,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.04261
1977,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.06344
1978,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.13331
1979,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.19059
1980,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.04563
1981,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.18311
1982,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.6847
1983,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.23242
1984,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,15.00194
1985,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,8.83483
1986,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.40899
1987,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,10.04603
1988,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,16.65702
1989,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,23.46351
1990,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,62.70643
1991,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,37.69409
1992,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,12.64322
1993,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.87411
1994,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.77329
1995,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.7429
1996,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,2.86088
1997,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.77675
1998,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.38678
1999,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.00372
2000,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.86274
2001,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.24426
2002,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.57931
2003,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,4.04991
2004,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,3.06978
2005,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,5.20705
2006,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,7.48444
2007,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,6.07222
2008,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",,,10.56154
1961,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,2.78541
1962,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.22137
1963,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.28483
1964,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,25.43677
1965,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.33281
1966,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,6.23409
1967,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.83451
1968,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.21355
1969,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.26251
1970,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.76847
1971,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.80545
1972,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,16.06375
1973,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,29.88623
1974,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.56411
1975,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.63318
1976,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,12.77896
1977,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,17.74778
1978,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,12.68812
1979,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.23914
1980,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,4.20326
1981,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.00938
1982,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,10.2973
1983,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,14.45607
1984,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.7376
1985,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,17.12745
1986,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.39099
1987,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,5.63177
1988,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,11.07545
1989,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.57299
1990,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.87413
1991,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.92659
1992,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.21812
1993,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.7821
1994,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,23.17489
1995,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.03001
1996,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.0452
1997,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.82505
1998,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-1.09342
1999,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.70536
2000,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,13.07387
2001,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,9.67575
2002,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,15.93413
2003,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,12.43792
2004,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.26447
2005,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,18.5919
2006,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,19.99366
2007,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,22.2126
2008,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",,,23.38969
1966,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-1.36187
1967,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.80868
1968,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.18261
1969,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,1.42569
1970,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,10.12195
1971,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,0.53622
1972,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,-6.08151
1973,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",,,8.91358
